precinct,index_crimes_2023
40,3162
41,1767
42,2336
43,3328
44,3394
45,1824
46,2192
47,3085
48,2335
49,2182
50,1564
52,2524
60,1254
61,1523
62,1423
63,1163
66,1162
67,2033
68,888
69,815
70,1282
71,1100
72,1339
76,491
78,1176
73,1620
75,3855
77,1418
79,1452
81,1063
83,2087
84,1352
88,820
90,1791
94,1244
1,1883
5,1251
6,2068
7,1193
9,1714
10,1275
13,1763
14,3807
17,1113
18,2523
19,2550
20,1175
22,88
23,1316
24,1113
25,1461
26,936
28,976
30,911
32,1473
33,1051
34,1540
100,437
101,712
102,1399
103,2044
105,1898
106,1635
107,1636
113,1234
104,1819
108,1821
109,3233
110,2853
111,1311
112,950
114,2410
115,2213
120,1376
121,942
122,911
123,533
